target,cue,frequency,
"Armbrust	altmodisch	1",,,
"Armbrust	Apfel	1",,,
"Armbrust	Robin_Hood	1",,,
"Armbrust	Brauchtum	1",,,
"Armbrust	töten	1",,,
"Armbrust	Sportschütze	1",,,
"Armbrust	Krieg	1",,,
"Armbrust	zielen	1",,,
"Armbrust	Truthahn	1",,,
"Armbrust	Apfelschuss	1",,,
"Armbrust	Schusswaffe	1",,,
"Armbrust	Holz	1",,,
"Armbrust	Schutz	1",,,
"Armbrust	Armee	1",,,
"Armbrust	jagen	1",,,
"Armbrust	Altertum	1",,,
"Asche	Feuer	21",,,
"Asche	grau	6",,,
"Asche	Staub	4",,,
"Asche	Kamin	4",,,
"Asche	brennen	3",,,
"Asche	Kohle	3",,,
"Asche	Urne	3",,,
"Asche	Ofen	3",,,
"Asche	Tod	3",,,
"Asche	Rauch	2",,,
"Asche	Brand	2",,,
"Asche	Grill	2",,,
"Asche	Holz	2",,,
"Asche	Zigarette	2",,,
"Asche	Reststoff	1",,,
"Asche	Aschenbecher	1",,,
"Asche	Dünger	1",,,
"Asche	heiß	1",,,
"Asche	kehren	1",,,
"Asche	glühen	1",,,
"Asche	Tote	1",,,
"Asche	Schutt	1",,,
"Asche	Begräbnis	1",,,
"Asche	Trauer	1",,,
"Asche	staubig	1",,,
"Asche	Sack	1",,,
"Asche	Bestattung	1",,,
"Asche	verbrennen	1",,,
"Asche	Aschetonne	1",,,
"Asche	Gott	1",,,
"Asche	Ascheneimer	1",,,
"Asche	Brandrückstand	1",,,
"Asche	Konzert	1",,,
"Asche	Adam	1",,,
"Asche	Müll	1",,,
"Asche	Afrika	1",,,
"Asche	erloschen	1",,,
"Asche	wehen	1",,,
"Asche	Glut	1",,,
"Asche	Beerdigung	1",,,
"Asche	Haupt	1",,,
"Asche	Pulver	1",,,
"Asche	zerfallen	1",,,
"Asche	Tonne	1",,,
"Aschenbecher	Zigarette	17",,,
"Aschenbecher	rauchen	13",,,
"Aschenbecher	Asche	6",,,
"Aschenbecher	stinken	5",,,
"Aschenbecher	Zigaretten	5",,,
"Aschenbecher	Zigarre	3",,,
"Aschenbecher	Rauch	2",,,
"Aschenbecher	Gestank	2",,,
"Aschenbecher	Tisch	2",,,
"Aschenbecher	ausleeren	2",,,
"Aschenbecher	Müll	2",,,
"Aschenbecher	ekelig	2",,,
"Aschenbecher	Qualm	2",,,
"Aschenbecher	Staub	1",,,
"Aschenbecher	Schmutz	1",,,
"Aschenbecher	Bar	1",,,
"Aschenbecher	kippen	1",,,
"Aschenbecher	Jägermeister	1",,,
"Aschenbecher	ausdrücken	1",,,
"Aschenbecher	Marmor	1",,,
"Aschenbecher	drücken	1",,,
"Aschenbecher	altmodisch	1",,,
"Aschenbecher	Dreck	1",,,
"Aschenbecher	Husten	1",,,
"Aschenbecher	Geruch	1",,,
"Aschenbecher	grau	1",,,
"Aschenbecher	Sucht	1",,,
"Aschenbecher	riechen	1",,,
"Aschenbecher	saubermachen	1",,,
"Aschenbecher	ungesund	1",,,
"Aschenbecher	Filter	1",,,
"Aschenbecher	Raucher	1",,,
"Aschenbecher	schmutzig	1",,,
"Aschenbecher	Restaurant	1",,,
"Aschenbecher	voll	1",,,
"Aschenbecher	Asch	1",,,
"Aschenbecher	aschen	1",,,
"Aschenbecher	Kneipe	1",,,
"Auge	sehen	16",,,
"Auge	Brille	7",,,
"Auge	Gesicht	6",,,
"Auge	Iris	5",,,
"Auge	Ohr	4",,,
"Auge	Wimpern	3",,,
"Auge	Pupille	3",,,
"Auge	Lid	3",,,
"Auge	braun	3",,,
"Auge	blau	3",,,
"Auge	empfindlich	2",,,
"Auge	Mund	2",,,
"Auge	Licht	2",,,
"Auge	Nase	2",,,
"Auge	Linse	2",,,
"Auge	schminken	1",,,
"Auge	Farbe	1",,,
"Auge	fern	1",,,
"Auge	Adlerauge	1",,,
"Auge	komplex	1",,,
"Auge	Sehkraft	1",,,
"Auge	Kontaktlinsen	1",,,
"Auge	Klaus_Augenthaler	1",,,
"Auge	kahl	1",,,
"Auge	Sinn	1",,,
"Auge	hübsch	1",,,
"Auge	Sicht	1",,,
"Auge	zwinkern	1",,,
"Auge	blinzeln	1",,,
"Auge	Organ	1",,,
"Auge	Farben	1",,,
"Auge	Blinder	1",,,
"Auge	Wimper	1",,,
"Auge	Körperteil	1",,,
"Auge	blind	1",,,
"Auge	weinen	1",,,
"Auge	Tränen	1",,,
"Auge	Sehnerv	1",,,
"Auge	Sinnesorgan	1",,,
"Auge	Kopf	1",,,
"Auge	Pirat	1",,,
"Bahn	Zug	42",,,
"Bahn	Verspätung	21",,,
"Bahn	Bahnhof	17",,,
"Bahn	Schienen	15",,,
"Bahn	Schiene	11",,,
"Bahn	fahren	9",,,
"Bahn	Lokomotive	7",,,
"Bahn	reisen	6",,,
"Bahn	Fahrkarte	6",,,
"Bahn	Eisenbahn	6",,,
"Bahn	Straßenbahn	5",,,
"Bahn	Gleis	5",,,
"Bahn	Gleise	4",,,
"Bahn	Reise	4",,,
"Bahn	ICE	3",,,
"Bahn	teuer	3",,,
"Bahn	Seilbahn	3",,,
"Bahn	U-Bahn	3",,,
"Bahn	S-Bahn	3",,,
"Bahn	Schaffner	3",,,
"Bahn	schnell	3",,,
"Bahn	Karte	2",,,
"Bahn	Fortbewegungsmittel	2",,,
"Bahn	Bahnsteig	2",,,
"Bahn	Schranke	2",,,
"Bahn	Autobahn	2",,,
"Bahn	Wagen	2",,,
"Bahn	Verkehr	2",,,
"Bahn	Kugelbahn	2",,,
"Bahn	DB	2",,,
"Bahn	Eisen	2",,,
"Bahn	Hof	2",,,
"Bahn	Reisen	2",,,
"Bahn	Deutsche_Bahn	2",,,
"Bahn	bequem	2",,,
"Bahn	Verkehrsmittel	2",,,
"Bahn	S	1",,,
"Bahn	Bowling	1",,,
"Bahn	Actionpark	1",,,
"Bahn	elektrisch	1",,,
"Bahn	Züge	1",,,
"Bahn	Schlittschuh	1",,,
"Bahn	Dampflok	1",,,
"Bahn	Kurs	1",,,
"Bahn	Seil	1",,,
"Bahn	Bus	1",,,
"Bahn	Stadt	1",,,
"Bahn	Firma	1",,,
"Bahn	Fahrgeräusch	1",,,
"Bahn	Strom	1",,,
"Bahn	Nahverkehr	1",,,
"Bahn	Kegel	1",,,
"Bahn	Ausflug	1",,,
"Bahn	Haltestelle	1",,,
"Bahn	lesen	1",,,
"Bahn	Bahnfart	1",,,
"Bahn	Transport	1",,,
"Bahn	pünktlich	1",,,
"Bahn	Entfernung	1",,,
"Bahn	lustig	1",,,
"Bahn	Eisbahn	1",,,
"Bahn	Auto	1",,,
"Bahn	Passagier	1",,,
"Bahn	Umlaufbahn	1",,,
"Bahn	unpünktlich	1",,,
"Bahn	ÖBB	1",,,
"Bahn	komfortabel	1",,,
"Bahn	Zugführer	1",,,
"Bahn	Fahrschein	1",,,
"Bahn	Führung	1",,,
"Bahn	Oberleitung	1",,,
"Bahn	Fahrbahn	1",,,
"Bahn	Waggon	1",,,
"Bahn	Bewegungsmittel	1",,,
"Bahn	laut	1",,,
"Bahn	stark	1",,,
"Bahn	verspätet	1",,,
"Bahn	U	1",,,
"Bahn	Abteil	1",,,
"Bahn	Infrastruktur	1",,,
"Bahn	Zeitung_lesen	1",,,
"Bahn	Zahnradbahn	1",,,
"Bahn	Fahrplan	1",,,
"Bahn	führen	1",,,
"Bahn	Ticket	1",,,
"Bahn	Fracht	1",,,
"Bahn	Fernverkehr	1",,,
"Bahnhof	Zug	23",,,
"Bahnhof	Züge	5",,,
"Bahnhof	Reise	5",,,
"Bahnhof	warten	4",,,
"Bahnhof	Bahnsteig	4",,,
"Bahnhof	Gleise	4",,,
"Bahnhof	Gleis	4",,,
"Bahnhof	fahren	3",,,
"Bahnhof	Abschied	2",,,
"Bahnhof	Verspätung	2",,,
"Bahnhof	Fahrkarte	2",,,
"Bahnhof	Schiene	2",,,
"Bahnhof	Eisenbahn	2",,,
"Bahnhof	Lautsprecheransage	1",,,
"Bahnhof	Flughäfen	1",,,
"Bahnhof	durchsagen	1",,,
"Bahnhof	Unterführung	1",,,
"Bahnhof	ICE	1",,,
"Bahnhof	Station	1",,,
"Bahnhof	Vorsteher	1",,,
"Bahnhof	Treffpunkt	1",,,
"Bahnhof	reisen	1",,,
"Bahnhof	Stadt	1",,,
"Bahnhof	Fernweh	1",,,
"Bahnhof	Haltestelle	1",,,
"Bahnhof	Schaffner	1",,,
"Bahnhof	Schienen	1",,,
"Bahnhof	Gast	1",,,
"Bahnhof	Lokomotive	1",,,
"Bahnhof	Reisen	1",,,
"Bahnhof	Fahrplan	1",,,
"Bahnhof	Reisende	1",,,
"Bahnhof	Zeit	1",,,
"Bahnhof	Abfahrt	1",,,
"Bahnhof	Geleise	1",,,
"Bahnhof	Straßenbahn	1",,,
"Bahnhof	Verkehr	1",,,
"Ball	rund	48",,,
"Ball	spielen	33",,,
"Ball	Fußball	29",,,
"Ball	Spiel	17",,,
"Ball	Sport	15",,,
"Ball	Kinder	8",,,
"Ball	Leder	8",,,
"Ball	werfen	7",,,
"Ball	Basketball	7",,,
"Ball	Kind	6",,,
"Ball	Tor	6",,,
"Ball	Fuß	6",,,
"Ball	tanzen	5",,,
"Ball	Spaß	5",,,
"Ball	bunt	4",,,
"Ball	Tennis	4",,,
"Ball	Gummi	3",,,
"Ball	Handball	3",,,
"Ball	treten	2",,,
"Ball	Volleyball	2",,,
"Ball	Spielzeug	2",,,
"Ball	Hand	2",,,
"Ball	90	1",,,
"Ball	hoch	1",,,
"Ball	Training	1",,,
"Ball	Kugel	1",,,
"Ball	Spielgerät	1",,,
"Ball	verletzen	1",,,
"Ball	Netz	1",,,
"Ball	Wasser	1",,,
"Ball	Mannschaftssport	1",,,
"Ball	Tanz	1",,,
"Ball	grün	1",,,
"Ball	Sommer	1",,,
"Ball	Musik	1",,,
"Ball	Abschlussball	1",,,
"Ball	Feld	1",,,
"Ball	hüpfen	1",,,
"Ball	Hund	1",,,
"Ball	EM	1",,,
"Ball	fallen	1",,,
"Ball	Luft	1",,,
"Ball	rollt	1",,,
"Ball	Auto	1",,,
"Ball	Mannschaften	1",,,
"Ball	abholen	1",,,
"Ball	Opernball	1",,,
"Ball	Springball	1",,,
"Ball	Nationalmannschaft	1",,,
"Ball	Schiedsrichter	1",,,
"Ball	aufpumpen	1",,,
"Ball	Plastik	1",,,
"Ball	hart	1",,,
"Ball	Kleider	1",,,
"Ball	Junge	1",,,
"Ball	Korb	1",,,
"Ball	Weltmeisterschaft	1",,,
"Ball	fangen	1",,,
"Ball	American_Football	1",,,
"Ball	springen	1",,,
"Ball	kicken	1",,,
"Ball	Platz	1",,,
"Ball	Schulsport	1",,,
"Ball	Meisterschaft	1",,,
"Banane	gelb	21",,,
"Banane	krumm	12",,,
"Banane	Affe	11",,,
"Banane	Frucht	5",,,
"Banane	Obst	4",,,
"Banane	essen	3",,,
"Banane	Dschungel	3",,,
"Banane	Staude	2",,,
"Banane	Affen	2",,,
"Banane	süß	2",,,
"Banane	gesund	2",,,
"Banane	Schale	2",,,
"Banane	riecht	1",,,
"Banane	Wintergarten	1",,,
"Banane	tropisch	1",,,
"Banane	Milchshake	1",,,
"Banane	gebogen	1",,,
"Banane	wohlschmeckend	1",,,
"Banane	Silikon	1",,,
"Banane	Shake	1",,,
"Banane	Gurke	1",,,
"Banane	Tropen	1",,,
"Banane	Ekel	1",,,
"Banane	Afrika	1",,,
"Banane	matschig	1",,,
"Banane	lang	1",,,
"Banane	Kochbananen	1",,,
"Banane	Früchtekorb	1",,,
"Banane	lecker	1",,,
"Banane	Sommer	1",,,
"Banane	schälen	1",,,
"Bananenschale	ausrutschen	18",,,
"Bananenschale	gelb	15",,,
"Bananenschale	Abfall	5",,,
"Bananenschale	Biomüll	4",,,
"Bananenschale	Affe	4",,,
"Bananenschale	wegwerfen	3",,,
"Bananenschale	krumm	3",,,
"Bananenschale	essen	2",,,
"Bananenschale	Müll	2",,,
"Bananenschale	Obst	2",,,
"Bananenschale	Frucht	2",,,
"Bananenschale	Slapstick_Unfall	1",,,
"Bananenschale	Verpackung	1",,,
"Bananenschale	Früchte	1",,,
"Bananenschale	Witz	1",,,
"Bananenschale	rutschen	1",,,
"Bananenschale	Staude	1",,,
"Bananenschale	Obstsalat	1",,,
"Bananenschale	Fallen	1",,,
"Bananenschale	Restmüll	1",,,
"Bananenschale	Banane	1",,,
"Bananenschale	lang	1",,,
"Bananenschale	schälen	1",,,
"Bananenschale	Boden	1",,,
"Bananenschale	glitschig	1",,,
"Bananenschale	Komiker	1",,,
"Bananenschale	Affen	1",,,
"Bananenschale	braun	1",,,
"Bananenschale	Dschungel	1",,,
"Bananenschale	Afrika	1",,,
"Bananenschale	süß	1",,,
"Bananenschale	Flecken	1",,,
"Bananenschale	Komik	1",,,
"Bananenschale	Slapstick	1",,,
"Band	Musik	9",,,
"Band	Schleife	5",,,
"Band	Geschenk	4",,,
"Band	Schnur	3",,,
"Band	Armband	3",,,
"Band	binden	3",,,
"Band	Gummi	2",,,
"Band	Gitarre	2",,,
"Band	Wurm	2",,,
"Band	Haar	2",,,
"Band	Konzert	2",,,
"Band	Verbindung	2",,,
"Band	Schmuck	2",,,
"Band	Tonband	2",,,
"Band	Strick	1",,,
"Band	Gruppe	1",,,
"Band	Verpackung	1",,,
"Band	Salat	1",,,
"Band	Kapelle	1",,,
"Band	Schlaufe	1",,,
"Band	Ehe	1",,,
"Band	Finger	1",,,
"Band	Ring	1",,,
"Band	Orden	1",,,
"Band	Verzierung	1",,,
"Band	Seil	1",,,
"Band	Buch	1",,,
"Band	Bob_Dylan	1",,,
"Band	Uhr	1",,,
"Band	schneiden	1",,,
"Band	Mikrophon	1",,,
"Band	dehnen	1",,,
"Band	Eisen	1",,,
"Band	Musikgruppe	1",,,
"Band	Hals	1",,,
"Band	Schlagzeug	1",,,
"Band	Hochzeit	1",,,
"Band	Faden	1",,,
"Band	schnüren	1",,,
"Band	Hochzeitsband	1",,,
"Band	Sympathie	1",,,
"Band	knoten	1",,,
"Band	Lied	1",,,
"Band	Musiker	1",,,
"Band	Aufrollen	1",,,
"Band	Arm	1",,,
"Band	Sänger	1",,,
"Band	Bandscheibe	1",,,
"Band	Absperrung	1",,,
"Band	Fließ	1",,,
"Band	Handarbeit	1",,,
"Band	verbinden	1",,,
"Band	verpacken	1",,,
"Band	Streifen	1",,,
"Band	Klettersteig	1",,,
"Band	Kassette	1",,,
"Band	zuhören	1",,,
"Band	durchtrennen	1",,,
"Band	blau	1",,,
"Basket	Korb	14",,,
"Basket	Ball	9",,,
"Basket	Basketball	4",,,
"Basket	Sport	3",,,
"Basket	englisch	3",,,
"Basket	tragen	2",,,
"Basket	Papier	2",,,
"Basket	Spiel	2",,,
"Basket	Mütze	2",,,
"Basket	Bastkorb	1",,,
"Basket	Körbchen	1",,,
"Basket	Athleten	1",,,
"Basket	Früchte	1",,,
"Basket	Ballsport	1",,,
"Basket	NBA	1",,,
"Basket	Ballspiel	1",,,
"Basket	Amerika	1",,,
"Basket	Urlaub	1",,,
"Basket	Klamotten	1",,,
"Basket	Spieler	1",,,
"Basket	werfen	1",,,
"Basket	Spielfeld	1",,,
"Basket	Wäsche	1",,,
"Basket	Schuhe	1",,,
"Basket	Magazin	1",,,
"Basket	Teamsport	1",,,
"Basket	Rotkäppchen	1",,,
"Basket	Englischstunde	1",,,
"Basket	Mannschaft	1",,,
"Basket	Behälter	1",,,
"Basket	einkaufen	1",,,
"Basket	Halle	1",,,
"Basket	Wurf	1",,,
"Basketball	Korb	19",,,
"Basketball	Sport	7",,,
"Basketball	Amerika	4",,,
"Basketball	Ball	4",,,
"Basketball	Team	3",,,
"Basketball	groß	3",,,
"Basketball	spielen	2",,,
"Basketball	Freiwurf	2",,,
"Basketball	orange	2",,,
"Basketball	braun	2",,,
"Basketball	rund	2",,,
"Basketball	trippeln	2",,,
"Basketball	Olympia	2",,,
"Basketball	laufen	1",,,
"Basketball	warm	1",,,
"Basketball	hoch	1",,,
"Basketball	hochspringen	1",,,
"Basketball	China	1",,,
"Basketball	tribbeln	1",,,
"Basketball	Ballsportart	1",,,
"Basketball	NBA	1",,,
"Basketball	Ballspiel	1",,,
"Basketball	schwarz	1",,,
"Basketball	hart	1",,,
"Basketball	Sportunterricht	1",,,
"Basketball	Spaß	1",,,
"Basketball	große_Jungs	1",,,
"Basketball	hüpfen	1",,,
"Basketball	großgewachsen	1",,,
"Basketball	Hünen	1",,,
"Basketball	Jordan	1",,,
"Basketball	anstrengend	1",,,
"Basketball	Schule	1",,,
"Basketball	Spielfeld	1",,,
"Basketball	Großverdiener	1",,,
"Basketball	Schuhe	1",,,
"Basketball	schnell	1",,,
"Basketball	Athlet	1",,,
"Basketball	schwierig	1",,,
"Basketball	Foul	1",,,
"Basketball	Körbe	1",,,
"Basketball	Körpergröße	1",,,
"Basketball	Mannschaft	1",,,
"Basketball	Stadion	1",,,
"Basketball	Männer	1",,,
"Basketball	Trikot	1",,,
"Basketball	Halle	1",,,
"Basketball	Einfamilienhaus	1",,,
"Baum	Blätter	18",,,
"Baum	Wald	15",,,
"Baum	Ast	14",,,
"Baum	Stamm	14",,,
"Baum	Blatt	12",,,
"Baum	grün	11",,,
"Baum	Holz	9",,,
"Baum	Schatten	5",,,
"Baum	Laub	4",,,
"Baum	Natur	4",,,
"Baum	groß	4",,,
"Baum	Krone	3",,,
"Baum	Wurzel	3",,,
"Baum	Eiche	3",,,
"Baum	wachsen	3",,,
"Baum	Obst	3",,,
"Baum	Äste	3",,,
"Baum	Garten	2",,,
"Baum	Wurzeln	2",,,
"Baum	Sommer	2",,,
"Baum	Zweig	2",,,
"Baum	Borke	2",,,
"Baum	Schule	2",,,
"Baum	Pflanze	2",,,
"Baum	Tannenbaum	2",,,
"Baum	Grün	2",,,
"Baum	klettern	1",,,
"Baum	Holzpflanze	1",,,
"Baum	Früchte	1",,,
"Baum	schütteln	1",,,
"Baum	Baumstamm	1",,,
"Baum	Gärtner	1",,,
"Baum	Axt	1",,,
"Baum	Wipfel	1",,,
